Column,Name,Description,New
city,city,Name of the city,city
country,country,Name of the country,country
x1,meal_cheap,"Meal, Inexpensive Restaurant (USD)",
x2,meal_mid,"Meal for 2 People, Mid-range Restaurant, Three-course (USD)",
x3,meal_mcd,McMeal at McDonalds (or Equivalent Combo Meal) (USD),
x4,r_beer_dom,"Domestic Beer (0.5 liter draught, in restaurants) (USD)",
x5,r_beer_imp,"Imported Beer (0.33 liter bottle, in restaurants) (USD)",
x6,r_cappuccino,"Cappuccino (regular, in restaurants) (USD)",
x7,r_coke,"Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)",
x8,r_water,"Water (0.33 liter bottle, in restaurants) (USD)",
x9,milk_1L,"Milk (regular), (1 liter) (USD)",
x10,bread_white,Loaf of Fresh White Bread (500g) (USD),
x11,rice_1kg,"Rice (white), (1kg) (USD)",
x12,eggs_doz,Eggs (regular) (12) (USD),
x13,cheese_local_1kg,Local Cheese (1kg) (USD),
x14,chicken_fillet_1kg,Chicken Fillets (1kg) (USD),
x15,beef_round_1kg,Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),
x16,apple_1kg,Apples (1kg) (USD),
x17,banana_1kg,Banana (1kg) (USD),
x18,orange_1kg,Oranges (1kg) (USD),
x19,tomato_1kg,Tomato (1kg) (USD),
x20,potato_1kg,Potato (1kg) (USD),
x21,onion_1kg,Onion (1kg) (USD),
x22,lettuce,Lettuce (1 head) (USD),
x23,water_1.5L,"Water (1.5 liter bottle, at the market) (USD)",
x24,winebottle_mid,"Bottle of Wine (Mid-Range, at the market) (USD)",
x25,beer_dom,"Domestic Beer (0.5 liter bottle, at the market) (USD)",
x26,beer_imp,"Imported Beer (0.33 liter bottle, at the market) (USD)",
x27,cigarettes_20,Cigarettes 20 Pack (Marlboro) (USD),
x28,ticket,One-way Ticket (Local Transport) (USD),
x29,ticket_month,Monthly Pass (Regular Price) (USD),
x30,taxi_start,Taxi Start (Normal Tariff) (USD),
x31,taxi_1km,Taxi 1km (Normal Tariff) (USD),
x32,taxi_1hrwait,Taxi 1hour Waiting (Normal Tariff) (USD),
x33,gas_1L,Gasoline (1 liter) (USD),
x34,vw_golf,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),
x35,toyota_corolla,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),
x36,basic,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",
x37,mobile_1min,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),
x38,internet,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)",
x39,gym_month,"Fitness Club, Monthly Fee for 1 Adult (USD)",
x40,tennis_rent,Tennis Court Rent (1 Hour on Weekend) (USD),
x41,cinema,"Cinema, International Release, 1 Seat (USD)",
x42,preschool,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)",
x43,primary_school,"International Primary School, Yearly for 1 Child (USD)",
x44,jeans,1 Pair of Jeans (Levis 501 Or Similar) (USD),
x45,summer_dress,"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",
x46,shoes_running,1 Pair of Nike Running Shoes (Mid-Range) (USD),
x47,shoes_business,1 Pair of Men Leather Business Shoes (USD),
x48,bed1_centre,Apartment (1 bedroom) in City Centre (USD),
x49,bed1_out,Apartment (1 bedroom) Outside of Centre (USD),
x50,bed3_centre,Apartment (3 bedrooms) in City Centre (USD),
x51,bed3_out,Apartment (3 bedrooms) Outside of Centre (USD),
x52,buy_centre,Price per Square Meter to Buy Apartment in City Centre (USD),
x53,buy_out,Price per Square Meter to Buy Apartment Outside of Centre (USD),
x54,salary,Average Monthly Net Salary (After Tax) (USD),
x55,mortgage,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",
data_quality,data_quality,"0 if Numbeo considers that more contributors are needed to increase data quality, else 1",