,city,meal_cheap,meal_mid,meal_mcd,r_beer_dom,r_beer_imp,r_cappuccino,r_coke,r_water,milk_1L,bread_white,rice_1kg,eggs_doz,cheese_local_1kg,chicken_fillet_1kg,beef_round_1kg,apple_1kg,banana_1kg,orange_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1.5L,winebottle_mid,beer_dom,beer_imp,cigarettes_20,ticket,ticket_month,taxi_start,taxi_1km,taxi_1hrwait,gas_1L,vw_golf,toyota_corolla,basic,mobile_1min,internet,gym_month,tennis_rent,cinema,preschool,primary_school,jeans,summer_dress,shoes_running,shoes_business,bed1_centre,bed1_out,bed3_centre,bed3_out,buy_centre,buy_out,salary,mortgage,data_quality,lat,lng,province,population
38,Whitby,17.90,87.85,12.27,5.12,7.16,4.25,2.13,1.44,3.20,2.79,4.50,3.59,20.45,11.48,15.35,4.22,1.77,5.12,3.66,3.06,3.06,2.62,2.22,15.35,3.06,5.12,15.35,3.84,136.54,4.86,3.27,30.68,1.92,25569.66,33496.26,211.69,0.44,69.04,41.76,13.81,14.06,1176.20,23012.70,62.04,46.02,92.90,159.39,1738.73,1227.34,2262.07,1841.02,11284.41,9357.81,0.00,8.57,0,43.8833,-78.9417,Ontario,138501
39,Ajax,28.28,92.05,12.27,6.14,8.17,4.15,2.43,1.92,2.66,2.55,2.54,3.57,13.29,15.00,20.80,3.92,2.15,3.66,6.24,3.33,2.50,3.06,2.04,15.35,2.87,3.42,15.35,3.84,119.66,4.35,2.25,26.59,1.95,25569.66,25126.46,168.73,0.51,71.59,42.34,15.35,14.32,1431.90,23882.07,71.59,51.14,112.51,105.69,1619.42,2209.21,2403.55,2275.70,6605.51,0.00,0.00,4.86,0,43.8583,-79.0364,Ontario,126666
40,Langley,20.45,81.82,13.81,6.65,8.18,4.86,2.43,2.00,1.96,3.16,4.42,5.00,16.41,11.32,19.94,4.89,2.29,6.17,5.80,3.60,4.95,2.80,1.88,15.35,4.35,7.16,17.37,3.35,112.64,3.42,1.92,51.14,2.25,30629.90,21289.30,172.31,0.28,97.04,41.55,0.00,15.35,818.23,9659.66,67.12,50.12,109.59,137.23,1559.75,1355.19,3017.22,4175.70,10596.34,8146.80,5267.35,6.22,0,49.1044,-122.5827,British Columbia,132603
41,Saanich,15.35,61.37,12.27,7.67,8.18,5.15,2.73,2.44,1.96,3.23,4.86,4.98,11.25,17.64,12.27,5.04,1.75,5.35,5.62,3.68,3.41,3.33,2.59,15.35,3.46,3.77,17.39,2.55,86.94,3.75,2.61,42.61,2.19,32729.17,26733.08,119.33,0.25,96.86,48.07,0.00,14.32,1261.43,17878.31,83.02,43.53,110.76,146.35,2045.57,1841.02,4091.15,3068.36,0.00,0.00,0.00,6.02,0,48.484,-123.381,British Columbia,117735
42,Moncton,24.55,81.82,10.74,6.65,7.16,5.45,2.26,1.96,3.62,3.64,5.51,4.76,15.07,13.54,11.66,6.86,2.25,6.09,4.57,4.79,5.60,3.56,3.34,18.41,4.26,5.27,20.45,2.94,70.57,3.27,2.70,30.68,2.03,20711.43,24188.90,182.64,0.68,91.15,64.43,13.63,15.35,698.05,0.00,69.90,69.90,97.87,129.55,1157.03,939.68,1914.07,1526.31,2761.52,2454.69,3213.85,7.89,1,46.1328,-64.7714,New Brunswick,79470
43,Waterloo,17.90,84.37,12.27,7.16,7.67,3.88,2.03,1.59,2.24,3.42,4.64,4.11,19.26,14.06,18.69,4.11,1.64,4.86,4.10,2.68,3.22,2.70,2.80,15.35,3.19,3.33,16.37,3.33,92.05,4.08,2.15,32.73,1.96,28525.52,27069.75,207.48,0.29,64.78,46.53,28.64,12.78,1159.16,15341.81,51.78,39.21,99.72,125.00,1688.53,1607.23,2727.43,2335.36,11009.18,0.00,5744.65,6.38,0,43.4667,-80.5167,Ontario,121436
44,Delta,17.08,94.61,10.35,6.65,8.18,4.77,2.35,1.71,2.18,2.04,3.57,4.08,0.00,8.18,0.00,5.12,2.04,2.04,4.08,2.04,2.04,2.04,2.04,15.35,0.00,0.00,12.27,3.06,0.00,3.68,2.39,56.25,2.21,27103.85,21376.24,409.11,0.30,75.00,88.64,23.02,12.27,1022.79,0.00,68.19,21.98,88.64,115.92,1355.19,0.00,0.00,0.00,10068.07,7670.90,0.00,9.03,0,49.0847,-123.0586,British Columbia,108455
45,Red Deer,20.45,74.15,12.14,5.12,7.16,4.68,2.04,2.00,2.11,3.09,4.22,3.56,9.96,12.83,12.82,5.06,2.07,4.21,4.91,2.80,3.04,2.40,2.29,20.45,3.85,5.24,15.70,2.55,60.09,3.68,2.00,34.78,1.68,30683.60,30683.60,271.57,0.30,99.72,63.05,40.92,13.29,715.94,0.00,66.36,48.22,100.57,135.39,1157.45,1038.13,1513.72,1261.43,1948.63,2066.55,4275.09,7.23,1,52.2681,-113.8111,Alberta,100844
46,Kamloops,20.45,69.04,10.23,5.63,5.37,4.28,2.64,1.61,4.07,3.77,4.71,5.88,12.27,16.37,24.80,5.44,1.89,5.42,4.04,3.16,3.82,3.01,1.88,16.37,3.06,3.11,17.39,2.04,55.23,3.84,2.04,34.78,2.08,38354.51,30811.45,170.15,0.68,91.15,49.61,37.51,14.32,1016.88,6648.11,56.25,44.56,94.10,148.31,1503.50,1358.03,2665.64,2239.91,8247.39,7499.03,3920.68,7.95,1,50.6761,-120.3408,British Columbia,97902
47,Newmarket,23.02,87.85,12.27,6.14,7.16,4.35,1.90,1.61,2.66,2.79,4.50,3.59,10.23,18.66,22.51,4.02,1.77,3.09,4.06,3.75,2.68,2.25,1.30,14.32,3.37,3.84,15.35,4.22,153.41,4.08,2.04,32.73,1.95,25569.66,26933.38,266.40,0.51,90.40,46.02,35.80,15.35,2279.11,49359.69,56.25,59.66,111.15,117.62,2267.17,2130.80,3204.73,2787.09,5113.94,3579.75,3341.10,6.47,0,44.05,-79.4667,Ontario,87942
48,White Rock,20.45,71.59,10.74,6.14,7.16,4.35,2.29,1.63,2.65,3.20,5.12,4.97,18.95,18.95,34.32,3.88,2.70,4.08,2.97,2.04,1.53,2.03,3.23,18.41,2.04,2.91,16.37,2.51,120.69,3.22,2.24,39.96,2.26,23267.38,25091.34,148.31,0.26,76.71,100.77,34.36,14.32,766.58,0.00,71.39,46.02,117.41,122.74,2493.04,1994.43,4909.38,3068.36,0.00,0.00,2659.25,10.58,0,49.025,-122.8028,British Columbia,21939
49,Brantford,23.02,92.05,12.78,6.90,8.18,4.26,2.36,2.07,2.87,2.90,3.15,3.73,11.90,11.48,13.29,3.30,1.77,3.24,1.53,4.20,2.28,2.62,2.73,16.37,2.95,4.50,17.18,3.06,153.41,3.57,3.27,30.68,2.03,29660.81,19432.95,171.33,0.23,75.31,49.35,0.00,12.78,1125.06,23012.70,62.04,46.02,90.78,113.86,1329.62,1483.04,2659.25,3272.92,0.00,0.00,2556.96,8.57,0,43.1667,-80.25,Ontario,104688
50,Lethbridge,23.02,79.27,11.76,6.65,7.92,4.60,2.36,2.04,2.08,3.49,8.10,5.16,22.47,13.51,24.12,7.05,3.39,5.95,6.60,3.01,5.63,3.89,2.91,15.35,3.57,5.20,16.62,3.20,78.76,3.74,2.22,35.80,1.77,24541.77,24067.45,279.95,0.23,92.94,65.90,21.61,18.41,1201.77,20558.01,61.70,35.52,114.54,181.54,1091.83,965.25,1771.77,1571.99,2972.48,2752.30,3347.25,6.69,1,49.6942,-112.8328,Alberta,98406
51,Pickering,22.51,76.71,10.23,6.39,7.67,4.22,1.97,1.60,2.14,2.73,4.08,3.57,13.29,12.61,20.45,3.06,1.02,5.63,5.63,3.57,3.06,2.04,2.04,20.45,4.08,7.16,13.81,3.33,119.66,3.20,1.02,51.14,1.84,25569.66,25910.59,196.03,0.51,71.59,56.25,38.35,12.27,818.23,0.00,66.47,37.51,84.12,119.33,1687.60,1610.89,0.00,2761.52,0.00,0.00,0.00,7.25,0,43.8354,-79.089,Ontario,99186
52,Nanaimo,19.69,89.49,13.29,7.67,8.18,4.24,2.43,2.17,3.15,3.33,3.44,5.11,16.37,17.19,22.62,5.77,1.85,5.26,5.71,3.89,4.02,3.49,2.30,18.41,4.26,4.86,18.41,2.94,66.47,3.66,2.46,61.37,2.17,28638.02,30785.88,218.08,0.63,104.12,42.61,24.29,16.37,1090.97,11932.52,68.75,49.74,104.84,133.21,1612.60,1505.88,2693.33,2519.47,4895.11,5221.48,3852.49,8.98,1,49.1642,-123.9364,British Columbia,99863
53,Sudbury,20.45,81.82,12.27,5.37,7.67,3.84,2.64,1.99,2.87,2.82,3.42,3.44,7.56,13.46,17.73,2.88,2.25,5.49,5.49,2.35,3.84,2.62,1.92,15.35,3.17,5.63,15.59,3.57,81.82,4.76,2.30,49.10,2.10,28635.47,37019.77,199.63,0.77,96.52,70.41,35.80,12.27,1125.06,12273.44,82.51,51.14,124.34,169.91,1372.24,1073.93,2326.85,2250.13,5339.45,3651.38,6392.42,10.18,1,46.49,-81.01,Ontario,166004
54,North Vancouver,25.57,102.27,12.27,7.16,9.20,4.86,2.33,2.35,2.40,3.91,4.08,5.11,25.57,11.08,22.55,5.01,2.50,5.04,3.20,3.06,3.09,3.23,2.61,19.43,3.52,4.86,15.86,3.06,135.01,4.08,2.22,34.04,2.36,25569.66,26081.06,116.35,0.00,90.35,100.23,14.32,15.35,1329.62,18839.73,72.62,52.67,106.11,138.08,1994.43,1738.73,4432.08,3511.56,13761.48,4812.78,5625.32,7.74,1,49.3641,-123.0066,British Columbia,88168
55,Chilliwack,18.41,81.82,12.27,5.75,7.16,4.39,1.85,1.13,2.01,2.95,2.70,4.13,14.90,11.80,15.66,4.65,2.04,4.17,8.60,2.62,3.70,2.15,2.39,15.35,1.97,4.08,16.37,2.04,45.00,3.48,1.97,35.25,2.18,29660.81,26027.37,137.39,0.26,87.67,43.98,6.47,14.31,1273.37,10227.87,65.59,41.73,97.17,104.84,1483.04,1610.89,2556.96,3272.92,3853.21,0.00,0.00,9.43,0,49.1577,-121.9509,British Columbia,93203
56,Maple Ridge,20.45,81.82,11.25,5.75,6.90,4.22,1.88,1.95,2.64,3.06,6.65,4.26,16.88,10.92,15.35,6.82,2.39,4.90,4.35,3.39,3.06,2.35,3.06,20.45,3.23,2.51,15.35,2.97,112.51,4.04,1.73,38.86,1.77,29047.14,29183.51,143.30,0.36,138.08,42.19,40.92,15.35,1193.24,0.00,56.00,85.23,136.80,144.47,1738.73,1395.08,2608.10,2577.43,0.00,0.00,0.00,7.76,0,49.2167,-122.6,British Columbia,90990
57,Peterborough,20.45,66.47,14.06,6.65,8.18,4.29,2.47,2.82,2.76,3.57,6.22,3.27,15.83,11.79,33.63,4.54,2.30,4.22,4.15,4.35,3.99,2.88,2.51,15.86,3.56,5.51,16.37,2.69,61.37,4.98,1.05,34.78,2.10,22792.80,23043.72,175.38,0.15,67.51,46.02,20.45,14.57,1176.63,12273.44,53.70,42.61,90.13,125.29,1465.99,1428.49,1917.73,2020.00,0.00,0.00,2413.44,9.20,1,44.3,-78.3167,Ontario,83651
58,Prince George,21.47,81.82,10.23,6.00,7.67,4.50,2.69,2.32,2.87,3.13,4.57,4.93,10.76,12.35,23.76,5.59,1.45,4.98,3.57,5.45,4.51,3.74,3.57,19.43,4.08,4.08,18.29,2.55,61.37,3.63,2.04,39.88,2.13,30683.60,31535.93,150.52,0.46,84.90,59.15,23.86,12.53,1022.79,0.00,64.78,45.51,132.96,125.93,1304.06,1073.93,2314.05,2493.04,0.00,1783.48,3835.45,6.02,1,53.9169,-122.7494,British Columbia,76708
59,Sault Ste. Marie,20.45,71.59,13.29,5.63,7.67,4.61,2.43,2.00,2.66,2.91,5.11,3.17,11.41,11.33,16.88,4.46,1.31,5.15,4.14,2.28,1.42,3.26,2.29,15.35,4.32,3.41,11.25,3.06,74.35,4.61,2.10,40.92,1.89,24035.49,21478.51,232.25,0.12,92.05,60.09,0.00,12.27,715.94,7159.51,65.21,42.19,99.21,133.98,1278.49,1150.63,1721.69,1960.35,2664.23,3500.92,3197.92,9.52,1,46.5333,-84.35,Ontario,72051
60,Sarnia,23.02,81.82,12.78,5.63,6.14,3.33,2.47,1.79,4.03,2.97,5.64,4.21,27.14,19.64,21.83,4.68,2.36,4.84,3.53,3.89,3.56,3.70,2.17,13.81,2.95,5.02,14.32,3.06,78.25,4.69,2.21,34.78,1.77,34544.62,28624.39,236.16,0.18,84.59,42.96,15.35,12.27,664.86,0.00,68.86,40.92,110.87,130.51,1167.00,1123.79,2352.40,2403.55,3196.20,2588.94,2250.13,8.54,1,42.9994,-82.3089,Ontario,72047
61,Chateauguay,12.27,40.92,7.67,0.00,0.00,3.57,0.00,0.00,2.01,3.52,3.57,3.06,11.25,21.13,0.00,3.37,1.74,6.13,6.65,2.30,5.11,2.62,2.24,12.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,45.38,-73.75,Quebec,50815
62,St. Albert,25.57,92.05,11.25,5.75,8.18,4.22,1.88,1.95,2.65,3.06,4.21,4.26,14.84,15.37,18.45,5.23,1.92,4.68,4.35,2.77,2.43,2.35,2.32,16.37,2.83,2.51,15.35,3.27,95.12,4.04,1.68,30.68,1.74,29149.42,26933.38,222.37,0.36,81.54,54.98,0.00,15.35,1084.16,82001.92,56.00,49.43,108.70,136.94,1252.92,1073.93,1534.17,1329.62,0.00,0.00,4773.01,7.04,0,53.6303,-113.6258,Alberta,68232
63,Granby,16.37,61.37,10.23,4.61,7.16,4.08,2.14,1.55,2.13,3.35,4.53,3.45,16.42,12.27,10.23,3.96,1.88,3.77,4.69,2.39,2.17,2.21,1.31,15.35,2.04,3.06,14.32,3.57,0.00,3.57,1.79,39.88,1.99,25569.66,20455.73,133.29,0.21,61.37,39.37,0.00,8.69,914.31,8740.70,74.44,45.13,105.47,140.64,629.02,613.67,984.44,920.50,0.00,0.00,2556.96,2.76,0,45.4,-72.7333,Quebec,69025
64,St. Thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24,3.57,3.06,3.71,16.89,7.67,15.79,8.18,2.32,5.12,5.84,6.44,5.24,4.08,2.29,23.02,2.93,2.55,13.29,0.00,0.00,0.00,0.00,51.14,2.08,0.00,0.00,0.00,0.00,204.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.04,0,42.775,-81.1833,Ontario,42840
65,Fredericton,25.57,81.82,12.27,6.14,8.18,4.64,2.26,1.89,2.90,3.41,7.41,3.78,20.07,16.19,18.13,6.69,1.95,4.87,5.85,2.76,3.20,3.15,1.96,15.35,4.06,4.44,16.88,2.82,81.82,6.14,2.15,34.78,1.89,30683.60,30171.95,173.16,0.08,103.43,64.27,24.55,14.70,746.64,30683.60,81.70,39.21,121.27,170.46,1188.70,1106.32,1812.89,1370.53,0.00,0.00,4475.12,9.04,1,45.9636,-66.6431,New Brunswick,63116
66,Welland,19.43,86.94,10.23,6.90,7.41,4.35,1.92,1.86,2.47,2.73,4.64,3.56,16.53,11.27,17.37,4.11,1.64,3.53,4.06,2.46,3.06,2.95,2.80,15.35,3.26,3.20,14.84,3.33,86.94,3.57,2.46,25.88,2.01,29650.58,23623.82,175.89,0.32,84.77,34.43,15.35,13.29,818.23,0.00,60.60,36.43,106.83,120.18,1431.90,1380.76,2386.50,2045.57,0.00,0.00,3324.06,8.63,0,42.9833,-79.2333,Ontario,55750
67,Belleville,15.35,51.14,12.27,6.14,8.18,4.06,2.10,1.95,3.31,2.94,4.08,3.46,17.39,13.00,9.00,4.35,2.04,3.57,2.04,3.06,1.02,1.02,1.02,13.81,3.06,4.90,15.35,3.06,66.47,3.93,3.63,34.78,1.95,25058.27,28978.95,223.50,0.30,78.34,56.25,30.68,12.78,1534.17,24546.87,66.47,40.92,115.27,126.15,1278.49,1073.93,2761.52,2352.40,0.00,0.00,3525.89,5.95,0,44.1667,-77.3833,Ontario,55071
68,Brandon,10.23,76.71,10.23,6.14,7.16,4.66,2.43,2.10,1.85,2.25,4.07,3.59,12.72,11.25,15.35,2.55,1.81,2.30,3.57,2.04,1.53,2.30,2.19,12.27,3.64,4.49,18.92,1.64,86.43,3.84,1.64,32.02,1.93,27615.24,26480.82,155.13,0.39,81.48,57.96,0.00,11.25,726.94,17110.54,47.04,42.50,91.02,40.92,869.37,1635.18,3732.49,3970.12,0.00,0.00,2507.87,6.21,0,49.8483,-99.95,Manitoba,51313
69,Rimouski,20.53,81.82,8.85,5.12,5.12,3.06,2.04,1.55,2.13,3.06,4.53,3.06,16.42,12.27,18.98,3.96,0.72,3.77,4.69,3.35,2.17,2.35,1.31,15.35,2.13,3.51,14.32,0.00,61.37,3.57,1.79,39.88,1.99,25569.66,22184.25,133.29,0.46,70.35,28.64,0.00,14.32,914.31,8740.70,40.92,45.13,81.82,140.64,659.70,613.67,1329.62,1022.79,0.00,0.00,0.00,6.98,0,48.45,-68.53,Quebec,48935
70,Cornwall,16.37,86.94,13.81,6.14,8.18,3.70,2.39,2.13,2.88,3.24,2.32,4.31,5.11,9.69,13.83,7.29,2.51,3.80,5.59,2.88,3.84,2.72,1.06,15.21,2.04,5.67,15.06,3.57,81.28,4.08,1.53,33.04,2.11,27615.24,20455.73,84.97,0.26,111.49,38.86,20.45,13.81,715.94,0.00,48.58,30.68,117.62,153.41,1108.02,920.50,1749.48,1943.29,3222.33,3222.33,0.00,9.04,0,45.0275,-74.74,Ontario,47845
71,Victoriaville,0.00,0.00,10.23,10.23,12.27,5.12,2.04,2.04,2.04,2.82,2.59,3.06,0.00,5.12,0.00,1.53,1.48,3.06,3.06,1.02,0.92,1.28,1.53,15.35,5.12,2.04,8.18,0.00,0.00,3.57,2.04,61.37,1.92,21989.91,23184.01,357.97,0.30,66.47,25.57,0.00,9.20,986.99,0.00,81.82,61.37,123.41,127.84,460.26,409.11,715.94,0.00,0.00,0.00,2198.99,3.04,0,46.05,-71.9667,Quebec,47760
72,Vernon,18.41,76.71,10.23,6.14,7.92,4.22,2.26,1.84,3.08,2.48,6.38,3.53,12.53,11.76,15.59,4.35,1.82,4.13,3.92,2.19,1.64,2.30,2.04,15.35,3.59,8.18,16.34,2.70,56.25,4.40,2.14,46.88,2.15,23010.15,29469.04,196.61,0.37,95.70,50.63,7.67,11.76,971.64,0.00,65.45,53.70,97.00,136.37,1329.48,1183.52,2369.46,2403.55,3853.21,3302.75,3886.59,8.63,1,50.267,-119.272,British Columbia,44519
73,Charlottetown,25.57,89.49,10.23,6.14,6.65,3.99,2.37,2.18,2.91,3.15,5.30,4.61,13.80,15.28,17.94,9.18,1.97,9.54,7.58,4.17,4.90,4.08,2.06,17.39,3.33,3.89,18.92,2.04,61.37,7.16,3.06,30.68,1.92,43468.43,30645.41,206.77,0.30,104.47,48.58,12.96,15.35,946.07,30683.60,71.59,38.35,84.37,115.06,1277.20,1089.99,1866.59,1693.99,3302.75,2157.80,2352.40,5.71,1,46.2403,-63.1347,Prince Edward Island,38809
74,Mascouche,16.88,105.86,10.23,5.63,9.20,3.33,2.04,1.77,2.04,2.04,5.12,3.06,26.41,9.20,25.20,2.04,2.04,2.04,4.08,4.08,2.04,3.06,2.11,16.37,3.48,2.04,11.25,3.33,119.15,3.57,2.04,61.37,2.10,21989.91,23184.01,95.88,0.06,62.65,21.14,25.57,12.27,986.99,8182.30,83.10,51.14,90.78,131.68,782.43,715.94,0.00,0.00,3068.36,3068.36,0.00,3.04,0,45.75,-73.6,Quebec,51183
75,Salaberry-de-Valleyfield,18.41,92.05,11.25,6.14,6.65,4.68,2.19,2.01,3.57,2.93,4.53,3.68,12.10,13.00,14.32,4.76,1.55,3.35,3.06,2.19,2.42,2.47,4.08,15.35,3.46,2.04,18.41,0.00,0.00,4.35,1.71,43.47,1.93,24628.71,23524.09,159.56,0.57,70.57,0.00,0.00,12.27,1350.08,0.00,63.63,28.64,90.89,115.92,0.00,0.00,1431.90,1431.90,0.00,0.00,0.00,10.28,0,45.25,-74.13,Quebec,42787
76,Rouyn-Noranda,12.78,81.82,11.76,5.37,6.14,4.26,3.06,1.88,2.43,3.64,4.57,3.57,16.17,12.35,22.02,6.06,2.00,5.52,5.63,3.80,2.76,2.39,1.71,15.35,4.10,3.96,12.27,3.06,35.80,4.08,5.12,0.00,2.17,0.00,23524.09,132.96,1.02,86.94,47.73,0.00,12.27,184.11,0.00,50.80,35.80,129.55,120.00,869.37,715.94,1431.90,1193.24,0.00,0.00,0.00,4.07,0,48.2333,-79.0167,Quebec,42313
77,Timmins,20.45,81.82,12.27,4.61,6.14,3.84,2.64,1.45,2.75,2.82,3.42,3.44,7.56,13.46,17.73,2.88,2.25,4.33,5.44,2.35,5.53,2.18,2.39,15.35,2.70,3.57,12.27,3.33,81.82,4.76,1.48,43.47,2.10,31195.00,21059.68,199.63,0.77,92.20,110.87,8.53,12.27,1125.06,12273.44,61.19,51.14,120.86,149.26,1073.93,903.46,1841.02,1534.17,3302.75,3853.21,4091.15,10.03,0,48.4667,-81.3333,Ontario,41145
